numberDay,weekDay,year,attendance,annualTot,tempHigh,tempLow,precip,ticketPrice,recordDailyAttendAllTime2024
12,Monday,1981,100141,1414809,74,57,yes,$3 ,184740
1,Thursday,1980,63643,1325360,81,60,no,$3 ,138875
2,Friday,1980,107503,1325360,84,54,no,$3 ,171233
3,Saturday,1980,145811,1325360,80,67,yes,$3 ,222194
4,Sunday,1980,148525,1325360,82,68,no,$3 ,209969
5,Monday,1980,69978,1325360,90,69,yes,$3 ,144504
6,Tuesday,1980,79616,1325360,73,58,yes,$3 ,136987
7,Wednesday,1980,86111,1325360,68,58,no,$3 ,145531
8,Thursday,1980,111987,1325360,75,61,no,$3 ,156764
9,Friday,1980,107710,1325360,88,67,yes,$3 ,225521
10,Saturday,1980,174238,1325360,78,56,no,$3 ,270426
11,Sunday,1980,130080,1325360,62,55,yes,$3 ,256015
12,Monday,1980,100158,1325360,74,58,no,$3 ,184740
1,Thursday,1979,69001,1405669,68,60,no,$2 ,138875
2,Friday,1979,118844,1405669,64,64,no,$2 ,171233
3,Saturday,1979,186500,1405669,79,49,no,$2 ,222194
4,Sunday,1979,111970,1405669,69,60,yes,$2 ,209969
5,Monday,1979,78859,1405669,74,60,ni,$2 ,144504
6,Tuesday,1979,63498,1405669,73,59,yes,$2 ,136987
7,Wednesday,1979,99529,1405669,87,58,no,$2 ,145531
8,Thursday,1979,105184,1405669,82,63,no,$2 ,156764
9,Friday,1979,97222,1405669,92,71,no,$2 ,225521
10,Saturday,1979,191726,1405669,83,68,yes,$2 ,270426
11,Sunday,1979,182070,1405669,76,57,no,$2 ,256015
12,Monday,1979,101266,1405669,76,52,no,$2 ,184740
1,Thursday,1978,60047,1386457,82,64,no,$2 ,138875
2,Friday,1978,104063,1386457,86,66,no,$2 ,171233
3,Saturday,1978,182665,1386457,79,69,no,$2 ,222194
4,Sunday,1978,121873,1386457,77,68,yes,$2 ,209969
5,Monday,1978,73945,1386457,77,62,no,$2 ,144504
6,Tuesday,1978,82595,1386457,81,53,no,$2 ,136987
7,Wednesday,1978,90995,1386457,76,55,no,$2 ,145531
8,Thursday,1978,101850,1386457,79,58,yes,$2 ,156764
9,Friday,1978,94748,1386457,85,63,no,$2 ,225521
10,Saturday,1978,182083,1386457,89,69,no,$2 ,270426
11,Sunday,1978,173772,1386457,88,62,no,$2 ,256015
12,Monday,1978,100965,1386457,89,64,no,$2 ,184740
1,Thursday,1977,57250,1299017,68,56,yes,$2 ,138875
2,Friday,1977,101582,1299017,89,69,yes,$2 ,171233
3,Saturday,1977,136252,1299017,88,69,yes,$2 ,222194
4,Sunday,1977,141107,1299017,70,56,no,$2 ,209969
5,Monday,1977,76697,1299017,76,52,no,$2 ,144504
6,Tuesday,1977,65112,1299017,76,62,yes,$2 ,136987
7,Wednesday,1977,69150,1299017,77,61,yes,$2 ,145531
8,Thursday,1977,84277,1299017,73,55,yes,$2 ,156764
9,Friday,1977,99368,1299017,71,57,no,$2 ,225521
10,Saturday,1977,178793,1299017,74,56,yes,$2 ,270426
11,Sunday,1977,162053,1299017,75,65,yes,$2 ,256015
12,Monday,1977,109573,1299017,74,61,no,$2 ,184740
1,Thursday,1976,62591,1266328,93,68,no,$2 ,138875
2,Friday,1976,99418,1266328,81,62,yes,$2 ,171233
3,Saturday,1976,149318,1266328,73,56,no,$2 ,222194
4,Sunday,1976,130651,1266328,76,48,no,$2 ,209969
5,Monday,1976,69556,1266328,87,57,no,$2 ,144504
6,Tuesday,1976,65800,1266328,81,59,yes,$2 ,136987
7,Wednesday,1976,76956,1266328,67,56,yes,$2 ,145531
8,Thursday,1976,92550,1266328,82,53,no,$2 ,156764
9,Friday,1976,86740,1266328,83,62,no,$2 ,225521
10,Saturday,1976,159634,1266328,79,50,no,$2 ,270426
11,Sunday,1976,152278,1266328,87,54,no,$2 ,256015
12,Monday,1976,109990,1266328,92,59,no,$2 ,184740
1,Thursday,1975,62387,1385242,80,68,yes,$2 ,138875
2,Friday,1975,124485,1385242,72,65,yes,$2 ,171233
3,Saturday,1975,164621,1385242,91,67,yes,$2 ,222194
4,Sunday,1975,149349,1385242,88,70,no,$2 ,209969
5,Monday,1975,105965,1385242,76,60,no,$2 ,144504
6,Tuesday,1975,113562,1385242,71,55,no,$2 ,136987
7,Wednesday,1975,136816,1385242,80,50,no,$2 ,145531
8,Thursday,1975,114455,1385242,79,68,yes,$2 ,156764
9,Friday,1975,124110,1385242,75,67,no,$2 ,225521
10,Saturday,1975,184203,1385242,70,61,no,$2 ,270426
11,Sunday,1975,182857,1385242,79,55,no,$2 ,256015
12,Monday,1975,109851,1385242,83,64,no,$2 ,184740
